# colgem_fitter.py log
# start time: Mon Jan  5 11:26:09 2015
# input file: projects/hivepi/data/SIRTree.n100.RLRootToTip.timetree.nwk
# annealing settings: tol0=0.020000, mintol=0.010000, decay=0.002500
# MCMC settings: {"phi": {"weight": 1.0, "min": 0.05, "max": 1.0, "initial": 0.2, "prior": "", "sigma": 0.02}, "N": {"weight": 2.0, "min": 200.0, "max": 100000.0, "initial": 2000.0, "prior": "norm(loc=8000, scale=3000)", "sigma": 200.0}, "p": {"weight": 0.0, "min": 0.0, "max": 1.0, "initial": 1.0, "prior": "lognorm(1)", "sigma": 0.0}, "beta": {"weight": 2.0, "min": 0.0001, "max": 0.01, "initial": 0.002, "prior": "lognorm(0.5)", "sigma": 0.0002}, "gamma": {"weight": 1.0, "min": 0.01, "max": 1.0, "initial": 0.2, "prior": "", "sigma": 0.02}, "t_end": {"weight": 1.0, "min": 20.74875277131252, "max": 22.823628048443776, "initial": 20.74875277131252, "prior": "uniform(loc=520, scale=2600)", "sigma": 0.5}}
# kernel settings: decay=0.350000 normalize=mean tau=0.500000 
state	score	N	beta	gamma	p	phi	t_end
0	0.600888974354	2000.0	0.002	0.2	1.0	0.2	20.7487527713
1	0.600200989491	2034.28110238	0.00199136178266	0.169240945787	1.0	0.215636081059	21.3414137599
2	0.639728962197	1547.87726566	0.00183439882944	0.197677528251	1.0	0.240301355728	21.9997472449
3	0.656115842018	1464.01429927	0.00165599834493	0.222297108386	1.0	0.220541574153	22.2022008232
4	0.666809626651	1367.58822669	0.00168575495501	0.258539580316	1.0	0.193056770652	22.4205947396
5	0.666809626651	1367.58822669	0.00168575495501	0.258539580316	1.0	0.193056770652	22.4205947396
6	0.666809626651	1367.58822669	0.00168575495501	0.258539580316	1.0	0.193056770652	22.4205947396
7	0.666809626651	1367.58822669	0.00168575495501	0.258539580316	1.0	0.193056770652	22.4205947396
8	0.666809626651	1367.58822669	0.00168575495501	0.258539580316	1.0	0.193056770652	22.4205947396
9	0.707397033268	1031.80657225	0.00173520820553	0.254690196959	1.0	0.18478967798	22.1014914905
10	0.707397033268	1031.80657225	0.00173520820553	0.254690196959	1.0	0.18478967798	22.1014914905
11	0.763819797374	723.267769205	0.00152343189637	0.242528380979	1.0	0.189523559053	21.6704314991
12	0.763819797374	723.267769205	0.00152343189637	0.242528380979	1.0	0.189523559053	21.6704314991
13	0.763819797374	723.267769205	0.00152343189637	0.242528380979	1.0	0.189523559053	21.6704314991
14	0.763819797374	723.267769205	0.00152343189637	0.242528380979	1.0	0.189523559053	21.6704314991
15	0.763864343252	626.559224918	0.00142489200903	0.219634589589	1.0	0.154073500146	20.8788350653
16	0.779620223632	646.697802745	0.00127065614088	0.224753056491	1.0	0.164742612359	21.1456381112
17	0.779620223632	646.697802745	0.00127065614088	0.224753056491	1.0	0.164742612359	21.1456381112
18	0.779620223632	646.697802745	0.00127065614088	0.224753056491	1.0	0.164742612359	21.1456381112
19	0.779620223632	646.697802745	0.00127065614088	0.224753056491	1.0	0.164742612359	21.1456381112
20	0.779620223632	646.697802745	0.00127065614088	0.224753056491	1.0	0.164742612359	21.1456381112
21	0.779620223632	646.697802745	0.00127065614088	0.224753056491	1.0	0.164742612359	21.1456381112
22	0.779620223632	646.697802745	0.00127065614088	0.224753056491	1.0	0.164742612359	21.1456381112
23	0.779620223632	646.697802745	0.00127065614088	0.224753056491	1.0	0.164742612359	21.1456381112
24	0.766653004469	314.517028931	0.00147008802923	0.21474259427	1.0	0.168487659707	22.4377034157
25	0.766653004469	314.517028931	0.00147008802923	0.21474259427	1.0	0.168487659707	22.4377034157
26	0.766653004469	314.517028931	0.00147008802923	0.21474259427	1.0	0.168487659707	22.4377034157
27	0.720557120972	274.809631355	0.00130867210361	0.192631494634	1.0	0.176708485343	22.2970427245
28	0.761714745449	654.317300358	0.001496073941	0.163541439208	1.0	0.18316812391	22.0678327602
29	0.78137896958	478.83482296	0.00154351093999	0.154073239699	1.0	0.153847864609	22.0563195876
30	0.78137896958	478.83482296	0.00154351093999	0.154073239699	1.0	0.153847864609	22.0563195876
31	0.78137896958	478.83482296	0.00154351093999	0.154073239699	1.0	0.153847864609	22.0563195876
32	0.78137896958	478.83482296	0.00154351093
