# colgem_fitter.py log
# start time: Thu Jan  8 10:16:55 2015
# input file: projects/hivepi/data/SIRTree.n1000.RLRootToTip.timetree.nwk
# annealing settings: tol0=0.020000, mintol=0.010000, decay=0.002500
# MCMC settings: {"phi": {"log": "false", "weight": 1.0, "min": 0.05, "max": 1.0, "initial": 0.2, "prior": "", "sigma": 0.1}, "N": {"log": "true", "weight": 2.0, "min": 200.0, "max": 100000.0, "initial": 2000.0, "prior": "norm(loc=8000, scale=3000)", "sigma": 0.2}, "p": {"log": "false", "weight": 0.0, "min": 0.0, "max": 1.0, "initial": 1.0, "prior": "lognorm(1)", "sigma": 0.0}, "beta": {"log": "true", "weight": 2.0, "min": 0.0, "max": 0.01, "initial": 0.002, "prior": "lognorm(0.5)", "sigma": 0.2}, "gamma": {"log": "false", "weight": 1.0, "min": 0.01, "max": 1.0, "initial": 0.2, "prior": "", "sigma": 0.1}, "t_end": {"log": "false", "weight": 1.0, "min": 13.822800531019794, "max": 15.205080584121776, "initial": 13.822800531019794, "prior": "uniform(loc=520, scale=2600)", "sigma": 0.5}}
# kernel settings: decay=0.350000 normalize=mean tau=0.500000 
state	score	N	beta	gamma	p	phi	t_end
0	0.727574378343	2000.0	0.002	0.2	1.0	0.2	13.822800531
1	0.727574378343	2000.0	0.002	0.2	1.0	0.2	13.822800531
2	0.850028971578	1602.76435299	0.00166746194905	0.18718440783	1.0	0.309406099036	14.404767272
3	0.850028971578	1602.76435299	0.00166746194905	0.18718440783	1.0	0.309406099036	14.404767272
4	0.850028971578	1602.76435299	0.00166746194905	0.18718440783	1.0	0.309406099036	14.404767272
5	0.850028971578	1602.76435299	0.00166746194905	0.18718440783	1.0	0.309406099036	14.404767272
6	0.850028971578	1602.76435299	0.00166746194905	0.18718440783	1.0	0.309406099036	14.404767272
7	0.849640401101	1439.77380354	0.00188437977415	0.289616168831	1.0	0.246113986179	14.1586550375
8	0.895204858115	1143.46636915	0.00183441319233	0.321108839081	1.0	0.255386134141	14.1337615137
9	0.914522712818	1018.53982337	0.00161534753967	0.371829487339	1.0	0.292492526984	13.8499518043
10	0.914522712818	1018.53982337	0.00161534753967	0.371829487339	1.0	0.292492526984	13.8499518043
11	0.897667713443	1192.85911111	0.00178950757261	0.247328867578	1.0	0.326714514197	14.300706238
12	0.915796780654	928.860796156	0.00173181962678	0.139061287999	1.0	0.336507351392	14.4355241535
13	0.915796780654	928.860796156	0.00173181962678	0.139061287999	1.0	0.336507351392	14.4355241535
14	0.924738703227	1161.7425434	0.00130950964324	0.0739005125764	1.0	0.421914918924	14.4488449381
15	0.924738703227	1161.7425434	0.00130950964324	0.0739005125764	1.0	0.421914918924	14.4488449381
16	0.924738703227	1161.7425434	0.00130950964324	0.0739005125764	1.0	0.421914918924	14.4488449381
17	0.923178497288	1322.16012766	0.00125909742572	0.0430290104654	1.0	0.474527748823	14.0831039984
18	0.922481060792	1592.23704929	0.00108839362576	0.0313562572	1.0	0.480459869331	14.8892415975
19	0.928991122238	1511.05839083	0.000810462139853	0.223734088299	1.0	0.418813394882	14.931323009
20	0.933167550417	1485.97405463	0.00076261200331	0.197541189258	1.0	0.27159243309	14.8113170634
21	0.928586422082	1324.64973028	0.000845979037494	0.179790836199	1.0	0.18481902095	14.7602008686
22	0.921731765123	1595.82111001	0.000928123728129	0.0896327411883	1.0	0.327218538628	14.1945456096
